npz_path,label,video_id,split
/Users/apple/deepfake-detection/data/processed/000_003_seq000.npz,1,000_003_seq000,val
/Users/apple/deepfake-detection/data/processed/000_003_seq001.npz,1,000_003_seq001,train
/Users/apple/deepfake-detection/data/processed/000_003_seq002.npz,1,000_003_seq002,train
/Users/apple/deepfake-detection/data/processed/000_003_seq003.npz,1,000_003_seq003,train
/Users/apple/deepfake-detection/data/processed/000_003_seq004.npz,1,000_003_seq004,train
/Users/apple/deepfake-detection/data/processed/000_003_seq005.npz,1,000_003_seq005,test
/Users/apple/deepfake-detection/data/processed/000_003_seq006.npz,1,000_003_seq006,train
/Users/apple/deepfake-detection/data/processed/000_003_seq007.npz,1,000_003_seq007,train
/Users/apple/deepfake-detection/data/processed/000_003_seq008.npz,1,000_003_seq008,train
/Users/apple/deepfake-detection/data/processed/000_003_seq009.npz,1,000_003_seq009,val
/Users/apple/deepfake-detection/data/processed/000_003_seq010.npz,1,000_003_seq010,train
/Users/apple/deepfake-detection/data/processed/000_003_seq011.npz,1,000_003_seq011,train
/Users/apple/deepfake-detection/data/processed/001_870_seq000.npz,1,001_870_seq000,test
/Users/apple/deepfake-detection/data/processed/001_870_seq001.npz,1,001_870_seq001,test
/Users/apple/deepfake-detection/data/processed/001_870_seq002.npz,1,001_870_seq002,test
/Users/apple/deepfake-detection/data/processed/001_870_seq003.npz,1,001_870_seq003,val
/Users/apple/deepfake-detection/data/processed/001_870_seq004.npz,1,001_870_seq004,val
/Users/apple/deepfake-detection/data/processed/001_870_seq005.npz,1,001_870_seq005,train
/Users/apple/deepfake-detection/data/processed/001_870_seq006.npz,1,001_870_seq006,train
/Users/apple/deepfake-detection/data/processed/001_870_seq007.npz,1,001_870_seq007,val
/Users/apple/deepfake-detection/data/processed/001_870_seq008.npz,1,001_870_seq008,test
/Users/apple/deepfake-detection/data/processed/001_870_seq009.npz,1,001_870_seq009,test
/Users/apple/deepfake-detection/data/processed/001_870_seq010.npz,1,001_870_seq010,train
/Users/apple/deepfake-detection/data/processed/001_870_seq011.npz,1,001_870_seq011,train
/Users/apple/deepfake-detection/data/processed/001_870_seq012.npz,1,001_870_seq012,train
/Users/apple/deepfake-detection/data/processed/001_870_seq013.npz,1,001_870_seq013,train
/Users/apple/deepfake-detection/data/processed/002_006_seq000.npz,1,002_006_seq000,train
/Users/apple/deepfake-detection/data/processed/002_006_seq001.npz,1,002_006_seq001,train
/Users/apple/deepfake-detection/data/processed/002_006_seq002.npz,1,002_006_seq002,test
/Users/apple/deepfake-detection/data/processed/002_006_seq003.npz,1,002_006_seq003,train
/Users/apple/deepfake-detection/data/processed/002_006_seq004.npz,1,002_006_seq004,train
/Users/apple/deepfake-detection/data/processed/002_006_seq005.npz,1,002_006_seq005,test
/Users/apple/deepfake-detection/data/processed/002_006_seq006.npz,1,002_006_seq006,test
/Users/apple/deepfake-detection/data/processed/002_006_seq007.npz,1,002_006_seq007,test
/Users/apple/deepfake-detection/data/processed/002_006_seq008.npz,1,002_006_seq008,train
/Users/apple/deepfake-detection/data/processed/002_006_seq009.npz,1,002_006_seq009,train
/Users/apple/deepfake-detection/data/processed/002_006_seq010.npz,1,002_006_seq010,train
/Users/apple/deepfake-detection/data/processed/002_006_seq011.npz,1,002_006_seq011,test
/Users/apple/deepfake-detection/data/processed/002_006_seq012.npz,1,002_006_seq012,test
/Users/apple/deepfake-detection/data/processed/002_006_seq013.npz,1,002_006_seq013,val
/Users/apple/deepfake-detection/data/processed/003_000_seq000.npz,1,003_000_seq000,train
/Users/apple/deepfake-detection/data/processed/003_000_seq001.npz,1,003_000_seq001,train
/Users/apple/deepfake-detection/data/processed/003_000_seq002.npz,1,003_000_seq002,train
/Users/apple/deepfake-detection/data/processed/003_000_seq003.npz,1,003_000_seq003,train
/Users/apple/deepfake-detection/data/processed/003_000_seq004.npz,1,003_000_seq004,train
/Users/apple/deepfake-detection/data/processed/003_000_seq005.npz,1,003_000_seq005,test
/Users/apple/deepfake-detection/data/processed/003_000_seq006.npz,1,003_000_seq006,train
